"title","writer","page","price"
"스프링4 입문","하세가와 유이치 , 오오노 와타루 , 토키 코헤이 ",520,27000
"처음 만나는 Vulkan","파르민더 싱 ",430,28800
"파이썬 데이터 분석 입문","클린턴 브라운리 ",368,24300
"스케치업 & V-Ray 트레이닝 북","강석창 ",472,22500
"처음 배우는 머신러닝","김승연 , 정용주 ",376,23400
"골빈해커의 3분 딥러닝","김진중(골빈해커) ",264,19800
"RxJava 프로그래밍","유동환 , 박정준 ",328,22500
"손으로 익히며 배우는 네트워크 첫걸음","Gene ",340,17820
"아파치 스파크 입문","사루타 고스케 , 도바시 마사루 , 요시다 고요 , 사사키 도루 , 쓰즈키 마사요시 ",380,22500
"웹 데이터 수집의 기술","타쿠로 사사키 ",252,17820
"인프라 엔지니어링 첫걸음","데라오 에사쿠 , 나카무라 도모나리 , 하타노 아이 , 요코타 마사토시 , JPCERT CC ",300,19800
"자바스크립트 프로젝트북","권대용 ",428,25200
"창의적인 문제 해결 능력을 키워주는 IT 퍼즐","김종훈 , 김병수 , 김태훈 , 양영훈 , 오정철 , 현동림 ",332,16200
"함수형 반응형 프로그래밍","스티븐 블랙히스 , 앤서니 존스 ",492,29700
"You Don’t Know JS : this와 객체 프로토타입, 비동기와 성능","카일 심슨 ",460,28800
"회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO","전미진 , 이화진 , 신면철 ",584,14400
"회사에서 바로 통하는 엑셀&파워포인트 2016","전미진 , 이화진 ",468,13500
"회사에서 바로 통하는 엑셀 2016","한은숙 ",556,18000
"You Don’t Know JS : 타입과 문법, 스코프와 클로저","카일 심슨 ",282,21600
"실무에서 바로 통하는 자바","다케다 하루키 , 와타나베 유지 , 사토 다이치 , 다다 다케아키 , 가미카와 노부히코 ",480,25200
"이것이 Windows Server다","우재남 ",924,27000
"회사에서 바로 통하는 한글 NEO FOR STARTERS","신면철 ",172,10350
"마인크래프트 슈퍼 건축 레시피","히류 , 이마이 산타로 ",160,13500
"앵귤러 첫걸음","조우진 ",488,25200
"처음 배우는 인공지능","다다 사토시 ",412,25200
"처음부터 다시 배우는 서비스 디자인 씽킹","배성환 ",372,20700
"회사에서 바로 통하는 엑셀 함수 실무 강의","김경자 , 송선영 ",468,17820
"DirectX 12를 이용한 3D 게임 프로그래밍 입문","프랭크 D. 루나 ",1048,45000
"이펙티브 디버깅","디오미디스 스피넬리스 ",256,21600
"비즈니스 블록체인","윌리엄 무가야 ",244,14400
"손으로 익히며 배우는 생활 보안 첫걸음","마스이 토시가츠 ",340,17820
"아마존 웹 서비스 인 액션","안드레아스 비티히, 미하엘 비티히 ",504,29700
"NDC ART BOOK 2017","2017년 넥슨 개발자 콘퍼런스 아트 전시회 참여 작가 ",192,18000
"웹툰, 만화, 일러스트레이션 제작을 위한 클립 스튜디오","이상화 , 홍지혁 ",328,22500
"세상에서 제일 친절한 엑셀","박재영 ",384,14400
"신경망 첫걸음","타리크 라시드 ",296,22500
"Hello Coding 그림으로 개념을 이해하는 알고리즘","아디트야 바르가바 ",328,19800
"러닝 PHP","데이비드 스클라 ",500,28800
"리버스 엔지니어링 2권(디버거 편)","이호동 ",1396,63000
"마이크로서비스 아키텍처 구축","샘 뉴먼 ",340,23400
"코드로 인프라 관리하기","키프 모리스 ",400,28800
"하둡 완벽 가이드(4판)","톰 화이트 ",876,49500
"만들면서 배우는 스파인 2D 게임 애니메이션","이동연 ",276,22500
"유니티로 게임을 만드는 10가지 방법","가토 마사키 ",508,30600
"좋은 사진을 만드는 정승익의 사진 노출 (전면개정판)","정승익 ",332,19800
"밑바닥부터 시작하는 딥러닝","사이토 고키 ",312,21600
"The Nature of Software Development","론 제프리스 ",192,14400
"딥러닝 첫걸음","김성필 ",196,16200
"오라클 레벨업","스즈키 겐고 , 다마오키 다케히로 , 시오바라 고타 , 고바야시 오사무 , 오모리 신지 , 우치무라 도모아키 ",440,28800
"그레이들 레시피","켄 커즌 ",172,16200
"행복한 프로그래밍(개정판)","임백준 ",300,14400
"만약 헤밍웨이가 자바스크립트로 코딩한다면","앵거스 크롤 ",196,17100
"누구나 쉽게 스칼라+플레이","고락윤 ",388,21600
"디자인 굿즈 만들기 with 포토샵&일러스트레이터","김신애 ",392,19800
"헤드 퍼스트 대수학 Head First Algebra","댄 필로네 , 트레이시 필로네 ",564,28800
"회사에서 바로 통하는 엑셀 파워포인트 워드 2016 한글 NEO + 원노트","전미진 , 이화진 , 신면철 ",760,15300
"데이터베이스 첫걸음","미크 , 기무라 메이지 ",312,18900
"백만 방문자와 소통하는 페이스북 마케팅","종유진 , 최규문 ",361,13500
"오픈스택 인 액션","코디 범가드너 ",476,28800
"엑셀 2016 바이블","최준선 ",1092,32400
"회사에서 바로 통하는 엑셀 파워포인트 워드 2016 + 원노트","전미진 , 이화진 , 신면철 ",620,14400
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV4. 파이썬 프로그래밍 아트","크리스 로피 ",104,9000
"리버스 엔지니어링 1권(파일 구조 편)","이호동 ",848,54000
"텐서플로 첫걸음","조르디 토레스 ",180,14400
"맛있는 디자인 포토샵 & 드림위버 CC","임화연 , 이해령 ",508,20700
"전문가를 위한 파이썬","루시아누 하말류 ",872,49500
"회사에서 바로 통하는 오토캐드 2017","심미현 ",672,25200
"7가지 동시성 모델","폴 부처 ",364,22500
"처음부터 다시 배우는 웹 기획","정재용 , 최준호 , 조영수 ",340,25200
"D3.js 인 액션","일리야 미크스 ",508,27000
"게임스토밍","데이브 그레이 , 서니 브라운 , 제임스 매카누포 ",352,16200
"모던 웹을 위한 Node.js 프로그래밍 3판","윤인성 ",544,22500
"회사에서 바로 통하는 엑셀 데이터 활용+분석","김경자 , 송선영 ",432,17820
"이것이 SQL Server다","우재남 ",720,27000
"함수형 사고","닐 포드 ",200,16200
"게임 프로그래밍 패턴","로버트 나이스트롬 ",400,31500
"실전 게임 제작으로 배우는 언리얼 엔진 4","미나토 카즈히사 ",703,40500
"알고리즘 문제 풀이 전략","조중필 , 한현상 , 이주호 ",724,30600
"프로그래밍 스칼라","딘 왐플러 , 알렉스 페인 ",776,43200
"스콧 켈비의 라이트룸 CC 킬러 팁 북","스콧 켈비(Scott Kelby) ",368,16200
"파이썬을 활용한 금융 분석","이브 힐피시 ",680,37800
"타라아트2","김경환 ",244,34200
"행복 화실","정진호 ",288,15300
"NDC ART BOOK","2016 넥슨 개발자 콘퍼런스 전시 작가 ",196,18000
"소프트웨어 세계화: 세계에서 통하는 소프트웨어를 만드는 방법 A to Z","박미라(Mira Park) ",284,16200
"코딩의 기술 : C와 C++ 게임 코드로 알아보는","오즈 모리하루 ",244,17820
"회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014 & 윈도우 10","전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",728,17820
"엔트리 : 창의력과 문제해결능력 향상을 위한 첫걸음","최현종 , 이상열 , 박지현 , 이현아 ",256,16200
"디스커버리 Go 언어","염재현 ",324,19800
"밥장, 몰스킨에 쓰고 그리다","밥장(글) , 강연욱(사진) ",302,16200
"엑셀 2016 매크로&VBA 바이블","최준선 ",1364,40500
"클라우드 시스템을 관리하는 기술","토머스 리몬첼리 , 스트래터 체일럽 , 크리스티나 호건 ",656,32400
"헬로 데이터 과학 : 삶과 업무를 바꾸는 생활 데이터 활용법","김진영 ",352,16200
"맛있는 디자인 인디자인 CC","황지완 ",496,21600
"뇌를 자극하는 파이썬 3","박상현 ",500,22500
"SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드","미크 ",408,21600
"안드로이드 프로그래밍 정복 4판, 1권","김상형 ",1056,31500
"안드로이드 프로그래밍 정복 4판, 2권","김상형 ",964,31500
"이것이 C++이다","최호성 ",524,22500
"지금 당장 써먹는 윈도우 10 마스터북","박광수(아크몬드) ",440,17820
"핀테크 세상을 열다 : 30편의 카툰으로 만나는 핀테크 이야기","김동우 , 김진영(로아컨설팅) ",248,11520
"크리스 크로퍼드의 인터랙티브 스토리텔링","크리스 크로퍼드 ",312,19800
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기","크리스 로피 ",124,9000
"SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기","아사이 아츠시 ",368,19800
"누워서 읽는 알고리즘: 프로그래밍 상상력을 키워주는 알고리즘 이야기","임백준 ",280,13500
"백만 방문자와 소통하는 소셜 홍보 마케팅","김진 ",296,12600
"Blog2Book, 프로젝트 성패를 결정짓는 데이터 모델링 이야기","김상래 ",248,18000
"English for Developers: IT 트렌드로 배우는 개발자 영어 독해","박재호 , 이해영 ",288,14400
"유닉스 리눅스 셸 스크립트 예제 사전","오스미 유스케 ",512,27000
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문","크리스 로피 ",108,9000
"만들면서 배우는 Git+GitHub 입문","윤웅식 ",484,25200
"(10대를 위한 프로그래밍 노트, 수프) 프로그래밍 비타민 : 컴퓨팅 사고력을 키우는 22가지 이야기","김종훈 ",248,16200
"긱 아틀라스: 과학과 기술의 발상지 129곳","존 그레이엄-커밍 ",608,22500
"OpenGL Super Bible(개정6판)","그라함 샐러스 , 리처드 S. 라이트 주니어 , 니콜라스 히멜 ",784,43200
"컨설턴트가 알려주는 보고서 작성의 기술 with 파워포인트","홍장표 ",336,16200
"게임 매니악스 액션 게임 알고리즘","마츠우라 켄이치로 , 츠카사 유키 ",564,30600
"백만 방문자와 소통하는 블로그 마케팅","조재형 ",264,12600
"웹 엔지니어가 알아야 할 인프라의 기본","바바 토시아키 ",332,20700
"누구나 할 수 있는 정진호의 비주얼씽킹","정진호 ",266,11700
"안드로이드 시큐리티 인터널","니콜라이 옐렌코프 ",488,34200
"회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014","전미진 , 이화진 , 신면철 ",688,16920
"Nature of Code: 자연계 법칙을 디지털 세계로 옮기는 컴퓨터 프로그래밍 전략","다니엘 쉬프만 ",620,27000
"린 고객 개발 : 고객의 지갑을 여는 제품 만들기","신디 앨버레즈 ",276,18000
"브루스 테이트의 세븐 랭귀지 : 프로그래머라면 알아야 할 미래를 품은 7가지 언어","브루스 테이트 ",404,22500
"엔지니어를 위한 데이터 시각화 :  D3.js로 배우는 데이터 시각화 이론과 12가지 사례","모리후지 다이치 , 안티베이지안 ",320,22500
"IT EXPERT 윈도우 시스템 프로그램을 구현하는 기술","이호동 ",1220,45000
"사물 인터넷 · 웨어러블 Ver 0.9: 새로운 IT 플랫폼을 완성하는 서비스 기획 · UX 가이드","송태민 ",264,13500
"펠트보이와 함께하는 컬러링 놀이: 안티 스트레스, 집중력 향상을 위한 컬러링북","펠트보이 ",100,10350
"Head First C# : 상상을 초월하는 객체지향 C# 학습법(개정3판)","앤드류 스텔만 , 제니퍼 그린 ",956,37800
"안드로이드 멀티스레딩: 비동기 메커니즘으로 날렵하고 안정적인 앱 만들기","안데르스 예란손 ",308,25200
"더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘","야나이 마사카즈 ",298,18000
"손에 잡히는 R 프로그래밍 : 주사위, 카드놀이, 슬롯머신을 만들면서 배우는 R 언어","가렛 그롤먼드 ",280,19800
"맥 쓰는 사람들과 함께하는 Mac OS X 바이블","고래돌이(김상우) ",600,29700
"이것이 자바다","신용권 ",1224,27000
"프로그래머의 리더십","정영훈 ",232,13500
"자바 퍼즐러 : 세상에서 가장 재미있는 자바 책","조슈아 블로크 , 닐 개프터 ",340,18000
"리눅스 시스템 프로그래밍(개정2판) : 커널과 C 라이브러리로 풀어가는(리눅스 3.x 최신 커널 기반)","로버트 러브 ",532,31500
"회사에서 바로 통하는 엑셀&파워포인트 2013","이희정 , 전미진 ",452,14400
"회사에서 바로 통하는 파워포인트 2013","전상오 ",440,15300
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ",396,23400
"회사에서 바로 통하는 엑셀+파워포인트+워드 2013(개정판)","전미진 , 이화진 , 신면철 ",564,13500
"JavaScript+jQuery 정복 : 보고, 이해하고, 바로 쓰는 자바스크립트 공략집","김상형 ",800,25200
"린 스타트업 실전 UX: 더 빠르고 스마트하게 일하는 린 UX 실행 전략","로라 클라인 ",268,18000
"Head First PMP : 체계적인 프로젝트 관리를 위한 국제 공인 학습법 (개정3판, PMBOK® 지침서 5판 시험대비용)","제니퍼 그린 , 앤드류 스텔만 ",896,37800
"자바스크립트를 말하다 : 가장 간결하면서도 완벽한 자바스크립트 입문서","악셀 라우슈마이어 ",588,30600
"성공하는 포트폴리오는 따로 있다","진욱 , 정소현 , 정승환 ",300,20700
"회사에서 바로 통하는 엑셀 2013","한은숙 ",544,15300
"글로벌 소프트웨어를 말하다, 지혜","김익환 ",288,13500
"키노트 6.x 프레젠테이션 : 키노트 사용자를 위한 기본+활용법","윤춘근 ",456,19800
"UNIX V6로 배우는 커널의 원리와 구조 : 고전으로 익히는 운영체제","아오야기 타카히로 ",484,27000
"반짝반짝 바느질 회로 만들기: 전기가 통하는 실로 만드는 Tech D.I.Y 융합인재교육 STEAM","이지선 ",208,20700
"뇌를 자극하는 SQL Server 2012 (2권, 관리/응용편)","우재남 ",896,32400
"자바 객체지향 디자인 패턴: UML과 GoF 디자인 패턴 핵심 10가지로 배우는","정인상 , 채흥석 ",504,25200
"좋은 사진을 만드는 장세현, 전국희의 아이디어가 반짝이는 DSLR 촬영 테크닉","장세현 , 전국희 ",392,19800
"폴리글랏 프로그래밍 : 새로운 자바 언어를 기다리는 히치하이커를 위한 안내서","임백준 ",256,16020
"만들면서 배우는 모던 웹사이트 디자인","야무(지훈) ",392,20700
"함수형 자바스크립트 : 새롭고 올바른 자바스크립트 프로그래밍 기법","마이클 포거스 ",292,19800
"해커와 화가","폴 그레이엄 ",364,16200
"10년차 디자이너에게 1:1로 배우는 일러스트레이터 디자인 강의","장보경(앤하우스) ",452,22500
"린 분석 : 성공을 예측하는 31가지 사례와 13가지 패턴","앨리스테어 크롤 , 벤저민 요스코비츠 ",488,25200
"인사이드 자바스크립트 : 핵심 개념과 원리를 정확하게. jQuery, Node.js, 클로저의 개념까지","송형주 , 고현준 ",284,16200
"IT EXPERT, ARM으로 배우는 임베디드 리눅스 시스템 : CPU에서 안드로이드까지 총망라! (개정판)","안효복 ",1092,40500
"좋은 사진을 만드는 정승익의 사진 구도(전면개정판)","정승익 ",304,17100
"TopCoder 탑코더 알고리즘 트레이닝","타카하시 나오히로 ",492,22500
"만들면서 배우는 Cocos2d-x 멀티 플랫폼 게임 프로그래밍(퍼즐 & 슈팅)","노재현 ",628,31500
"린 UX : 린과 애자일 그리고 진화하는 사용자 경험","제프 고델프 , 조시 세이던 ",172,13500
"게임 매니악스 슈팅 게임 알고리즘","마츠우라 켄이치로 , 츠카사 유키 ",408,23400
"좋은 코딩 나쁜 코딩 : 단순한 코드가 좋은 코드다 (2판)","박진수 ",328,18000
"The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부","도널드 커누스(Donald E. Knuth) ",1184,49500
"맵리듀스 디자인 패턴 : 하둡과 빅데이터에 효과적인 6가지 방법론과 26가지 실용 패턴","도널드 마이너 , 아담 슈크 ",288,18000
"실전 하둡 운용 가이드 : 대규모 하둡 클러스터 관리를 위한 필수 노하우","에릭 새머 ",344,21600
"엑셀 2013 바이블 : 회사에서 필요한 기능은 모두 있다","최준선 ",1080,31500
"포토샵 디자인 스타일북 : 6 TYPES 20 STYLES","김혜경 ",400,21600
"Head First Data Analysis : 당신을 최고의 데이터 분석가로 이끌어줄 마법 같은 학습서","마이클 밀튼 ",488,27000
"Head First HTML and CSS(개정판) : HTML5를 적용한 웹 제작 지침서","엘리자베스 롭슨 , 에릭 프리먼 ",764,27000
"맛있는 디자인 포토샵 CS6","임화연 , 이세련 , 이해령 ",448,19800
"뇌를 자극하는 SQL Server 2012 (1권, 기본편)","우재남 ",668,24300
"MySQL Troubleshooting : 쿼리 문제, 원인을 알면 해결은 쉽다","스베타 스머노바(Sveta Smirnova) ",336,19800
"읽기 좋은 자바스크립트 코딩 기법: 유지보수가 쉬운 코드로 팀의 생산성을 높이자","니콜라스 자카스 ",304,17100
"회사에서 바로 통하는 엑셀 실무 데이터 분석","최준선 ",520,22500
"린 스타트업: 실리콘밸리를 뒤흔든 IT 창업 가이드","애시 모리아 ",264,16200
"Head First C : 내공 있는 C 프로그래머로 이끌어주는 착한 안내서","데이빗 그리피스 , 돈 그리피스 ",636,30600
"뽀얀의 감성 일러스트레이션 : 포토샵과 일러스트레이터를 이용한 손 느낌 나는 일러스트 기법","뽀얀(김은혜) ",464,22500
"맛있는 디자인 드림위버 CS6","임화연 ",472,22500
"프로그래머로 사는 법: 프로그래머의 길을 걸어가는 당신을 위한 안내서","샘 라이트스톤 ",608,22500
"만들면서 배우는 인터프리터: 컴파일러 이론으로 만드는 나만의 스크립트 언어","하야시 하루히코 ",304,19800
"Head First Mobile Web: 웹앱으로 진화하는 모바일 웹 개발","리자 데인저 가드너 , 제이슨 그릭스비 ",480,22500
"안드로이드의 모든 것 NDK: C/C++을 이용한 안드로이드 앱 개발 방법","고현철 , 전호철 ",496,30600
"회사에서 바로 통하는 엑셀 2010 함수 이해&활용","최준선 ",536,21600
"Head First HTML5 Programming: 웹 표준으로 만드는 생동감 있는 웹 애플리케이션","에릭 프리먼 , 엘리자베스 롭슨 ",616,30600
"OpenCL 프로그래밍: 애플, AMD, NVIDIA, 인텔이 선택한 병렬처리의 표준","주식회사 Fixstars ",432,25200
"Head First jQuery: 자바스크립트를 몰라도 배울 수 있는 제이쿼리","라이언 베네디티 , 로넌 크랜리 ",544,27000
"좋은 사진을 만드는 김주원의 포토샵 사진 강의","김주원 ",520,24300
"Head First Statistics: 실생활 예제로 배우는 정말 쉬운 통계 이야기","돈 그리피스 ",720,36000
"뇌를 자극하는 C++ STL","공동환 ",576,25200
"읽기 좋은 코드가 좋은 코드다: 더 나은 코드를 작성하는 간단하고 실전적인 테크닉","더스틴 보즈웰 , 트레버 파우커 ",252,16200
"세가의 신입 사원 교육 과정에서 배우는 게임 프로그래밍의 정석","히라야마 타카시 ",1008,43200
"예제로 쉽게 배우는 스프링 프레임워크 3.0","사카타 코이치 ",556,25200
"키노트 프레젠테이션(키노트 사용자를 위한 기본+활용법)","윤춘근 ",376,17820
"만들면서 배우는 리스프 프로그래밍: Land of LISP","콘래드 바스키 ",560,31500
"엑셀 2010 바이블","최준선 ",1064,30600
"회사에서 바로 통하는 엑셀+파워포인트+워드 2010","전미진 , 이화진 , 신면철 ",464,17820
"100만 방문자와 소통하는 파워블로그 만들기","윤상진 , 함성한 , 승채린 , 조상래 , 김동범 ",396,17820
"한 번에 배우는 HTML5+자바스크립트","지닌 마이어 ",380,25200
"회사에서 바로 통하는 파워포인트 2010","이상훈 , 김연희 ",464,17820
"회사에서 바로 통하는 일러스트레이터 CS5","박혜진(삐딱대가리) ",548,23400
"회사에서 바로 통하는 엑셀 2010","한은숙 ",548,17820
"회사에서 바로 통하는 액세스 2010","김재훈 ",648,22500
"유닉스 리눅스 명령어 사전(개정판)","우종경 , 박종오 ",852,28800
"한 권으로 끝내는 정규표현식","잰 고이바에르츠 , 스티븐 리바이선 ",608,32400
"회사에서 바로 통하는 엑셀&파워포인트 2010","이희정 , 전미진 ",528,16920
"Head First PHP & MySQL: 효과적이고 생동감 넘치는 웹 애플리케이션 만들기","린 베일리 , 마이클 모리슨 공저 ",816,28800
"사전처럼 바로 찾아 쓰는 알고리즘","조지 T. 하인만 , 게리 폴리케 , 스탠리 셀코 ",404,22500
"누워서 읽는 퍼즐북 : 뉴욕의 프로그래머 임백준의 퍼즐이야기","임백준 ",308,12420
"뇌를 자극하는 알고리즘","박상현 ",604,22500
"파워포인트 블루스","김용석 ",256,15120
"회사에서 바로 통하는 포토샵 CS4","원다예 ",416,19800
"Blog2Book, 고객을 사로잡는 매력적인 제안서와 창의적인 제안팀 이야기","류현주 , 박민영 ",272,17820
"Head First JavaScript : 대화형 웹 애플리케이션의 시작","마이클 모리슨 ",656,25200
"Head First SQL : 효율적인 DB 관리를 위한 SQL 학습법","린 베일리 ",608,24300
"The Art of Computer Programming 3: 정렬과 검색(개정 2판)","도널드 커누스(Donald E. Knuth)) ",944,37800
"The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판)","도널드 커누스(Donald E. Knuth) ",936,37800
"뇌를 자극하는 윈도우즈 시스템 프로그래밍","윤성우 ",760,26100
"IT EXPERT, 리눅스 커널 프로그래밍","한동훈 ",1104,34200
"The Art of Computer Programming 1: 기초 알고리즘(개정 3판)","도널드 커누스(Donald E. Knuth) ",796,37800
"윈도우즈 API 정복(개정판), 제1권","김상형 ",1116,27000
"윈도우즈 API 정복(개정판), 제2권","김상형 ",1016,27000
"Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판)","케이시 시에라 , 버트 베이츠 ",720,25200
"뇌를 자극하는 C 프로그래밍","서현우 ",684,19800
"Head First Design Patterns: 스토리가 있는 패턴 학습법","에릭 프리먼 , 엘리자베스 프리먼 , 케이시 시에라 , 버트 베이츠 ",672,25200
"Programming Challenges: 알고리즘 트레이닝 북","스티븐 스키에나 , 미구엘 레비야 ",672,23400
